
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
1,1,1,1759100047
1,4,1,1759100061
1,4,4,801
1,4,4,1326
1,4,4,669
1,4,2,1759100078
1,1,3,697
1,1,3,494
1,1,3,358
1,1,2,1759100081
